STATEFP,COUNTYFP,COUNTYNS,NAME,Longitude,Latitude,GHI_value,Power_Density
06,037,00277283,Los Angeles,-118.271387,34.040539,5.418,6.428506
06,037,00277283,Los Angeles,-118.468371,34.221665,5.545,9.783902
06,037,00277283,Los Angeles,-118.147111,34.14762,5.404,4.2295504
06,037,00277283,Los Angeles,-118.152655,34.145138,5.405,4.218086
06,037,00277283,Los Angeles,-118.150133,34.145119,5.405,4.218086
06,037,00277283,Los Angeles,-118.149597,34.118433,5.397,4.086431
06,037,00277283,Los Angeles,-118.192,33.7637,5.33,6.0422072
06,037,00277283,Los Angeles,-118.403342,33.94325,5.297,9.098151
06,037,00277283,Los Angeles,-118.554686,34.238716,5.539,17.656815
06,037,00277283,Los Angeles,-118.44704,34.017081,5.353,13.063212
06,037,00277283,Los Angeles,-118.49583,34.010021,5.255,17.803017
06,037,00277283,Los Angeles,-118.438965,34.156407,5.504,7.916372
06,037,00277283,Los Angeles,-118.35835,34.13722,5.462,9.872734
06,037,00277283,Los Angeles,-118.153806,33.94756,5.369,4.060774
06,037,00277283,Los Angeles,-118.523887,34.248959,5.537,17.251942
06,037,00277283,Los Angeles,-118.528543,34.241687,5.538,15.866275
06,037,00277283,Los Angeles,-118.532588,34.236853,5.539,16.058537
06,037,00277283,Los Angeles,-118.28192,33.740758,5.291,9.429722
06,037,00277283,Los Angeles,-118.474585,34.077588,5.414,48.796608
06,037,00277283,Los Angeles,-118.050548,34.145528,5.361,3.515517
06,037,00277283,Los Angeles,-117.864,34.13556,5.426,4.17763
06,037,00277283,Los Angeles,-118.3966,33.9826,5.362,4.843998
06,037,00277283,Los Angeles,-118.385231,34.029971,5.408,6.274114
06,037,00277283,Los Angeles,-117.809208,34.105275,5.44,3.8249857
06,037,00277283,Los Angeles,-118.136621,34.147709,5.399,3.8947701
06,037,00277283,Los Angeles,-118.399767,33.944761,5.31,6.690326
06,037,00277283,Los Angeles,-118.13889,33.84788,5.338,4.212613
06,037,00277283,Los Angeles,-118.49151,34.019875,5.31,9.471284
06,037,00277283,Los Angeles,-118.4898,34.010528,5.291,11.775291
06,037,00277283,Los Angeles,-118.24566,33.82498,5.348,4.310823
06,037,00277283,Los Angeles,-118.100471,33.861544,5.339,3.8481658
06,037,00277283,Los Angeles,-117.928216,33.997621,5.386,4.207888
06,037,00277283,Los Angeles,-118.151166,33.9473,5.367,3.9927099
06,037,00277283,Los Angeles,-117.975944,34.136553,5.39,3.4536426
06,037,00277283,Los Angeles,-118.02703,34.06964,5.396,4.484365
06,037,00277283,Los Angeles,-118.307028,33.889201,5.368,5.4512944
06,037,00277283,Los Angeles,-118.25515,34.13714,5.444,5.368485
06,037,00277283,Los Angeles,-118.273229,34.035168,5.418,4.4494843
06,037,00277283,Los Angeles,-118.356601,34.133446,5.454,5.129608
06,037,00277283,Los Angeles,-118.466606,34.269809,5.566,17.589005
06,037,00277283,Los Angeles,-118.1383,34.5914,5.987,80.936134
06,037,00277283,Los Angeles,-118.44896,34.16924,5.519,7.1443048
06,037,00277283,Los Angeles,-117.890899,34.074227,5.41,4.63538
06,037,00277283,Los Angeles,-118.686393,34.035802,5.304,10.844756
06,037,00277283,Los Angeles,-118.35808,34.063383,5.424,5.6106577
06,037,00277283,Los Angeles,-118.2778,34.02828,5.415,5.917049
06,037,00277283,Los Angeles,-118.385,33.9492,5.359,7.3889856
06,037,00277283,Los Angeles,-117.9869,34.13867,5.385,3.242837
06,037,00277283,Los Angeles,-117.82341,34.049341,5.422,2.7404044
06,037,00277283,Los Angeles,-118.689023,34.037227,5.304,10.844756
06,037,00277283,Los Angeles,-118.142129,34.144224,5.4,5.1244736
06,037,00277283,Los Angeles,-118.141776,34.148186,5.401,4.9817
06,037,00277283,Los Angeles,-118.598675,34.253049,5.539,36.19231
06,037,00277283,Los Angeles,-118.409726,33.886925,5.165,12.282288
06,037,00277283,Los Angeles,-117.81619,34.077429,5.428,9.013509
06,037,00277283,Los Angeles,-118.350231,33.835218,5.304,8.085679
06,037,00277283,Los Angeles,-118.148914,34.148874,5.404,4.7740197
06,037,00277283,Los Angeles,-117.820001,34.051634,5.425,2.9866626
06,037,00277283,Los Angeles,-118.258897,34.155502,5.447,6.9573975
06,037,00277283,Los Angeles,-118.444801,34.072975,5.409,4.8127036
